metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1700180364,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180364,1.000000,,,,,,,,,,,,,,,,
vus,1700180365,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180365,1.000000,,,,,,,,,,,,,,,,
vus,1700180366,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180366,1.000000,,,,,,,,,,,,,,,,
vus,1700180367,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180367,1.000000,,,,,,,,,,,,,,,,
vus,1700180368,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180368,1.000000,,,,,,,,,,,,,,,,
vus,1700180369,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180369,1.000000,,,,,,,,,,,,,,,,
vus,1700180370,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180370,1.000000,,,,,,,,,,,,,,,,
vus,1700180371,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180371,1.000000,,,,,,,,,,,,,,,,
vus,1700180372,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180372,1.000000,,,,,,,,,,,,,,,,
vus,1700180373,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180373,1.000000,,,,,,,,,,,,,,,,
vus,1700180374,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180374,1.000000,,,,,,,,,,,,,,,,
vus,1700180375,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180375,1.000000,,,,,,,,,,,,,,,,
vus,1700180376,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180376,1.000000,,,,,,,,,,,,,,,,
vus,1700180377,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180377,1.000000,,,,,,,,,,,,,,,,
vus,1700180378,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180378,1.000000,,,,,,,,,,,,,,,,
vus,1700180379,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180379,1.000000,,,,,,,,,,,,,,,,
vus,1700180380,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180380,1.000000,,,,,,,,,,,,,,,,
vus,1700180381,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180381,1.000000,,,,,,,,,,,,,,,,
vus,1700180382,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180382,1.000000,,,,,,,,,,,,,,,,
vus,1700180383,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180383,1.000000,,,,,,,,,,,,,,,,
vus,1700180384,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180384,1.000000,,,,,,,,,,,,,,,,
vus,1700180385,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180385,1.000000,,,,,,,,,,,,,,,,
vus,1700180386,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180386,1.000000,,,,,,,,,,,,,,,,
vus,1700180387,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180387,1.000000,,,,,,,,,,,,,,,,
vus,1700180388,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180388,1.000000,,,,,,,,,,,,,,,,
vus,1700180389,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180389,1.000000,,,,,,,,,,,,,,,,
vus,1700180390,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180390,1.000000,,,,,,,,,,,,,,,,
vus,1700180391,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180391,1.000000,,,,,,,,,,,,,,,,
vus,1700180392,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180392,1.000000,,,,,,,,,,,,,,,,
vus,1700180393,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180393,1.000000,,,,,,,,,,,,,,,,
vus,1700180394,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180394,1.000000,,,,,,,,,,,,,,,,
vus,1700180395,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180395,1.000000,,,,,,,,,,,,,,,,
